disease_associates,gene_associates,prior_perm,prior_perm_stderr,n_associations,n_possible
253,3,0.0607841,1.78291e-05,28,439
253,2,0.0404688,9.19606e-06,47,1039
253,1,0.020193,3.5599e-06,63,3114
252,47,0.733785,0.000735342,1,1
252,46,0.724478,0.000743325,1,1
252,40,0.663498,0.000786144,1,1
252,39,0.654463,0.000791185,1,1
252,37,0.631845,0.000802433,1,1
252,35,0.606681,0.00081272,1,1
252,34,0.595396,0.000816594,0,1
252,33,0.582798,0.00082039,1,1
252,31,0.555461,0.000826742,0,1
252,30,0.542647,0.000828844,0,1
252,28,0.514441,0.000831528,0,1
252,27,0.500109,0.00041576,0,4
252,26,0.484739,0.000337872,5,6
252,25,0.469695,0.000830346,0,1
252,24,0.453446,0.000369354,5,5
252,22,0.421043,0.000473725,2,3
252,21,0.40468,0.000308099,3,7
252,20,0.387148,0.000404558,2,4
252,19,0.370101,0.000283119,4,8
252,18,0.353251,0.000795239,0,1
252,17,0.333733,0.000452435,0,3
252,16,0.315999,0.000256597,4,9
252,15,0.297587,0.000252155,5,9
252,14,0.278671,0.00026291,1,8
252,13,0.259602,0.000165791,5,19
252,12,0.240496,0.000176557,3,16
252,11,0.220989,0.000142663,4,23
252,10,0.20115,0.000127111,6,27
252,9,0.181462,0.000117963,2,29
252,8,0.161698,9.32089e-05,8,42
252,7,0.141566,6.37389e-05,10,79
252,6,0.121413,5.27511e-05,12,101
252,5,0.101125,4.08689e-05,15,142
252,4,0.0808526,2.78642e-05,23,243
252,3,0.0605635,1.78533e-05,24,439
252,2,0.0402907,9.17081e-06,41,1039
252,1,0.0200985,3.55428e-06,61,3114
235,47,0.718679,0.000748095,1,1
235,46,0.70926,0.000755516,1,1
235,40,0.647673,0.000794766,1,1
235,39,0.635228,0.000800873,1,1
235,37,0.613006,0.00081035,0,1
235,35,0.588248,0.000818816,0,1
235,34,0.576659,0.00082204,1,1
235,33,0.56111,0.000825639,1,1
235,31,0.536951,0.000829601,1,1
235,30,0.522319,0.000831046,0,1
235,28,0.494112,0.000831818,0,1
235,27,0.480067,0.000415537,3,4
235,26,0.464579,0.000338123,3,6
235,25,0.448492,0.00082745,1,1
235,24,0.433944,0.000367573,2,5
235,22,0.401295,0.000470647,3,3
235,21,0.385194,0.000305225,1,7
235,20,0.368772,0.000400894,1,4
235,19,0.351695,0.000279143,4,8
